artista,track,playcount,listeners
Rosalía,DESPECHÁ,8854658,653361
Rosalía,SAOKO,11815230,609051
Rosalía,BIZCOCHITO,8268346,599066
Rosalía,LA FAMA,5109666,542226
Rosalía,Berghain,6462924,523114
Rosalía,Con Altura,5102942,456159
Rosalía,MALAMENTE - Cap.1: Augurio,5353799,445295
Rosalía,TKN (feat. Travis Scott),4110698,425833
Rosalía,CHICKEN TERIYAKI,5713323,421926
Rosalía,CANDY,6456597,419127
Rosalía,La Perla,4640561,416083
Rosalía,BESO,4220920,415514
Rosalía,MOTOMAMI,5553495,408833
Rosalía,"Sexo, Violencia y Llantas",3207076,386359
Rosalía,Reliquia,3914290,384244
Rosalía,"Yo x Ti, Tu x Mi",3085594,359410
Rosalía,HENTAI,4832397,346120
Rosalía,Divinize,3053341,342468
Rosalía,Porcelana,2759721,321165
Rosalía,DIABLO,4983391,320663
Rosalía,LA COMBI VERSACE,3920517,318235
Rosalía,BULERÍAS,2951970,305097
Rosalía,Dios Es Un Stalker,3256702,301389
Rosalía,PIENSO EN TU MIRÁ - Cap.3: Celos,3718259,300381
Rosalía,Mio Cristo Piange Diamanti,2459964,299388
Rosalía,CUUUUuuuuuute,3635468,291887
Rosalía,De Madrugá,2506995,291560
Rosalía,G3 N15,2751139,290979
Rosalía,DELIRIO DE GRANDEZA,3213161,288751
Rosalía,Mundo Nuevo,1971271,282110
Rosalía,La Yugular,2985185,279406
Rosalía,Sauvignon Blanc,2412808,273521
Rosalía,COMO UN G,3278450,271433
Rosalía,LA FAMA (with The Weeknd),2992597,258253
Rosalía,Abcdefg,1878463,253821
Rosalía,Magnolias,2170606,249764
Rosalía,LLYLM,2983176,245897
Rosalía,SAKURA,1974330,241761
Rosalía,La Rumba Del Perdón,1923568,236532
Rosalía,BAGDAD - Cap.7: Liturgia,2236678,232764
Rosalía,Memória,1585294,228055
Rosalía,DI MI NOMBRE - Cap.8: Éxtasis,2219795,227747
Rosalía,A Palé,2061336,207450
Rosalía,QUE NO SALGA LA LUNA - Cap.2: Boda,1507299,194860
Rosalía,Aute Cuture,2268723,180389
Rosalía,VAMPIROS,2262524,176394
Rosalía,DE AQUÍ NO SALES - Cap.4: Disputa,1380903,173133
Rosalía,Catalina,770164,163078
Rosalía,A NINGÚN HOMBRE - Cap.11: Poder,1115672,157223
Rosalía,TUYA,1370171,152939
Queen,Bohemian Rhapsody,16294476,2234193
Queen,Bohemian Rhapsody - Remastered 2011,13493991,1707918
Queen,Don't Stop Me Now - Remastered 2011,13783195,1642247
Queen,Another One Bites The Dust - Remastered 2011,11043402,1499605
Queen,Under Pressure - Remastered 2011,11712439,1398230
Queen,Another One Bites the Dust,8714161,1398105
Queen,Don't Stop Me Now,10012753,1337062
Queen,Killer Queen - Remastered 2011,10722505,1275117
Queen,We Will Rock You,7510083,1273200
Queen,Killer Queen,8461635,1254216
Queen,I Want to Break Free,7078367,1172465
Queen,We Are the Champions,6176096,1086003
Queen,Under Pressure,6990892,1078099
Queen,Somebody to Love,6563418,1045240
Queen,Crazy Little Thing Called Love,5627948,946139
Queen,Somebody To Love - Remastered 2011,6366382,943531
Queen,The Show Must Go On,5923338,876088
Queen,Crazy Little Thing Called Love - Remastered 2011,5499940,870317
Queen,We Will Rock You - Remastered 2011,4277525,843739
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,8653667,821537
Queen,You're My Best Friend,4069944,770858
Queen,We Are The Champions - Remastered 2011,4004904,762409
Queen,Fat Bottomed Girls,4146765,736764
Queen,Radio Ga Ga,3942257,688220
Queen,Radio Ga Ga - Remastered 2011,3828651,654462
Queen,Bicycle Race,3375418,642767
Queen,Love Of My Life - Remastered 2011,4226820,624173
Queen,Who Wants to Live Forever,3261156,595321
Queen,You're My Best Friend - Remastered 2011,3089612,577635
Queen,I Want It All,3402860,572913
Queen,A Kind of Magic,3241830,565556
Queen,I Want To Break Free - Remastered 2011,2754282,521669
Queen,Seven Seas of Rhye,2614648,506831
Queen,Save Me,2431213,492449
Queen,I Want To Break Free - Single Remix,2585962,489015
Queen,Play the Game,2196070,470882
Queen,Cool Cat - Remastered 2011,3186658,468373
Queen,Now I'm Here,2110054,453414
Queen,One Vision,2203746,423767
Queen,Thank God It's Christmas,1368734,419120
Queen,Love of My Life,2471113,393642
Queen,Innuendo,2049036,383131
Queen,The Show Must Go On - Remastered 2011,2242606,381178
Queen,A Kind Of Magic - Remastered 2011,1876939,374579
Queen,Hammer to Fall,1932587,372694
Queen,Friends Will Be Friends,1899537,367001
Queen,Flash,1532949,362020
Queen,Good Old-Fashioned Lover Boy,1785080,328698
Queen,Headlong,1539580,324600
Queen,It's a Hard Life,1454493,310250
The Lumineers,Ho Hey,15421941,1651177
The Lumineers,Ophelia,12100735,1115049
The Lumineers,Stubborn Love,7071528,809169
The Lumineers,Flowers in Your Hair,5617913,738278
The Lumineers,Sleep on the Floor,5134891,530663
The Lumineers,Cleopatra,5379140,501005
The Lumineers,Slow It Down,2283997,391072
The Lumineers,Dead Sea,2247752,371039
The Lumineers,Submarines,1658900,308379
The Lumineers,Angela,2271863,292922
The Lumineers,Classy Girls,1503995,291751
The Lumineers,Charlie Boy,1466477,278608
The Lumineers,Big Parade,1552509,273285
The Lumineers,Flapper Girl,1242540,238196
The Lumineers,Morning Song,935687,206676
The Lumineers,Gloria,1395054,202797
The Lumineers,Gale Song,1437340,194936
The Lumineers,Where The Skies Are Blue,1129886,166575
The Lumineers,Salt and the Sea,987985,147371
The Lumineers,Long Way from Home,878918,142744
The Lumineers,Patience,900967,136717
The Lumineers,WHERE WE ARE,695576,127897
The Lumineers,My Eyes,810900,121200
The Lumineers,Nobody Knows,665925,117295
The Lumineers,Gun Song,736962,115655
The Lumineers,BRIGHTSIDE,751589,114127
The Lumineers,Donna,821040,109612
The Lumineers,Life in the City,758967,108688
The Lumineers,In the Light,633537,108153
The Lumineers,A.M. RADIO,740873,106707
The Lumineers,Same Old Song,511119,96500
The Lumineers,Walls,502013,91492
The Lumineers,Leader of the Landslide,665926,88247
The Lumineers,It Wasn't Easy to Be Happy for You,534890,87885
The Lumineers,Sick in the Head,439615,85830
The Lumineers,Scotland,455848,83123
The Lumineers,Asshole,324190,70365
The Lumineers,White Lie,405840,70009
The Lumineers,BIG SHOT,350527,65410
The Lumineers,You're All I Got,281331,64706
The Lumineers,This Must be the Place (Naïve Melody),215994,57519
The Lumineers,Elouise,237965,56170
The Lumineers,April,290648,54666
The Lumineers,Left for Denver,302288,54498
The Lumineers,Ain't Nobody's Problem,236551,53407
The Lumineers,Have You Ever Seen The Rain - Recorded at Electric Lady Studios NYC,214530,52781
The Lumineers,REPRISE,240765,49091
The Lumineers,just like heaven,210181,45461
The Lumineers,NEVER REALLY MINE,233100,43879
The Lumineers,My Cell,242095,43407
Foo Fighters,Everlong,46520205,3123358
Foo Fighters,The Pretender,22831829,2205339
Foo Fighters,My Hero,15186687,1818872
Foo Fighters,Best of You,14548637,1757662
Foo Fighters,Learn to Fly,13586230,1755204
Foo Fighters,All My Life,11273377,1477619
Foo Fighters,Monkey Wrench,9412508,1314863
Foo Fighters,Times Like These,8616498,1227362
Foo Fighters,Big Me,5263115,882192
Foo Fighters,Long Road to Ruin,5448074,792847
Foo Fighters,Walk,6429706,740226
Foo Fighters,Breakout,4448777,734651
Foo Fighters,Doll,3433503,706517
Foo Fighters,This Is a Call,3432450,661998
Foo Fighters,Let It Die,4263074,632401
Foo Fighters,Walking After You,3621531,626198
Foo Fighters,DOA,3608284,583858
Foo Fighters,Rope,4430293,571764
Foo Fighters,These Days,3793941,516958
Foo Fighters,"Hey, Johnny Park!",2885610,514073
Foo Fighters,I'll Stick Around,2821028,513946
Foo Fighters,Everlong - acoustic version,3209789,485701
Foo Fighters,No Way Back,2709020,473805
Foo Fighters,February Stars,2424383,473137
Foo Fighters,Stranger Things Have Happened,3051426,469604
Foo Fighters,Up in Arms,2200584,452960
Foo Fighters,Come Alive,2605872,449454
Foo Fighters,Wheels,3127324,444072
Foo Fighters,Bridge Burning,3252441,432388
Foo Fighters,My Poor Brain,1919954,430855
Foo Fighters,Wind Up,1998759,430460
Foo Fighters,Next Year,2238588,428453
Foo Fighters,See You,1902476,427180
Foo Fighters,Enough Space,1794052,420574
Foo Fighters,Low,2163756,416129
Foo Fighters,Stacked Actors,2316661,408799
Foo Fighters,Arlandria,3290628,403548
Foo Fighters,Generator,2351899,401398
Foo Fighters,Home,2013020,384521
Foo Fighters,Aurora,2134557,382450
Foo Fighters,Dear Rosemary,2802985,373989
Foo Fighters,Summer's End,1911774,368977
Foo Fighters,New Way Home,1567485,359288
Foo Fighters,Friend of a Friend,1747671,356561
Foo Fighters,In Your Honor,1792443,347438
Foo Fighters,Statues,1721642,345005
Foo Fighters,Another Round,1695182,341356
Foo Fighters,Razor,1700790,340819
Foo Fighters,Cold Day in the Sun,1855839,338566
Foo Fighters,White Limo,2348189,338473
Muse,Supermassive Black Hole,35894126,2929615
Muse,Starlight,22861489,2146321
Muse,Hysteria,24104099,2103896
Muse,Time Is Running Out,19363106,1868850
Muse,Uprising,18102099,1734419
Muse,Knights of Cydonia,15909075,1587328
Muse,Plug In Baby,14404555,1402103
Muse,Stockholm Syndrome,11107802,1207546
Muse,Feeling Good,9653310,1129951
Muse,Undisclosed Desires,12690040,1087072
Muse,Map of the Problematique,11086162,1045225
Muse,New Born,9503377,1017229
Muse,Sing for Absolution,7372813,977815
Muse,Bliss,8626381,933138
Muse,Apocalypse Please,6456439,876192
Muse,Madness,8704613,874511
Muse,Take a Bow,6808093,870590
Muse,Invincible,7122092,861534
Muse,Resistance,8622598,860890
Muse,Falling Away With You,5606149,795725
Muse,Assassin,6197471,786191
Muse,Sunburn,6473407,781533
Muse,Blackout,5424929,764524
Muse,Soldier's Poem,5169787,761024
Muse,Muscle Museum,6714511,754663
Muse,City of Delusion,5489401,749297
Muse,Endlessly,5426730,731788
Muse,Unintended,6362143,727034
Muse,Thoughts of a Dying Atheist,5485171,718511
Muse,Space Dementia,5440995,710609
Muse,Interlude,4860155,688529
Muse,Hoodoo,4440609,674628
Muse,Exo-Politics,5189587,672539
Muse,Citizen Erased,5590760,667745
Muse,The Small Print,4770880,644330
Muse,Micro Cuts,5011077,637117
Muse,Butterflies and Hurricanes,4716574,635017
Muse,Hyper Music,4594786,632390
Muse,Ruled by Secrecy,3795055,604166
Muse,Megalomania,3614066,557743
Muse,Unnatural Selection,4333030,554741
Muse,MK Ultra,4647861,552524
Muse,Psycho,4487629,544575
Muse,Screenager,3272253,539630
Muse,Showbiz,4173537,519874
Muse,Guiding Light,3639997,515309
Muse,Panic Station,4576757,511209
Muse,Butterflies & Hurricanes,3602670,496663
Muse,Supremacy,3859576,487831
Muse,Uno,3410226,476101
Metallica,Enter Sandman,18695870,1889442
Metallica,Nothing Else Matters,17079112,1706704
Metallica,Master of Puppets,16832957,1655257
Metallica,One,14083123,1401649
Metallica,The Unforgiven,10818802,1178706
Metallica,Sad but True,9034824,1035265
Metallica,Fuel,9084503,1025427
Metallica,Battery,7997690,917434
Metallica,Whiskey in the Jar,8019048,911099
Metallica,Wherever I May Roam,6545270,828517
Metallica,Fade to Black,7163162,741822
Metallica,For Whom the Bell Tolls,6700789,706104
Metallica,The Day That Never Comes,6484061,682914
Metallica,The Unforgiven II,5717945,666741
Metallica,Welcome Home (Sanitarium),5161865,633591
Metallica,The Memory Remains,4756532,617949
Metallica,The Thing That Should Not Be,4125419,613481
Metallica,Blackened,4976884,605102
Metallica,Of Wolf and Man,4077468,598456
Metallica,Until It Sleeps,4422241,562570
Metallica,Holier Than Thou,3306449,553050
Metallica,Turn the Page,4305286,535391
Metallica,Disposable Heroes,3486879,526606
Metallica,Don't Tread on Me,3091708,525764
Metallica,Harvester of Sorrow,3718014,511557
Metallica,Through the Never,3049450,511421
Metallica,Enter Sandman - Remastered 2021,3521248,506330
Metallica,For Whom The Bell Tolls - Remastered,5564804,504716
Metallica,All Nightmare Long,4370349,504691
Metallica,Creeping Death,4243797,501008
Metallica,The Unforgiven III,4188256,494569
Metallica,Leper Messiah,3082783,485576
Metallica,The God That Failed,2798622,478679
Metallica,Ride the Lightning,3647143,473922
Metallica,My Friend of Misery,2809117,470220
Metallica,Hero of the Day,3379030,455291
Metallica,...and Justice for All,3215643,444308
Metallica,St. Anger,3123282,440176
Metallica,Eye of the Beholder,2732320,434989
Metallica,The Shortest Straw,2634107,423387
Metallica,The Struggle Within,2230559,418108
Metallica,Enter Sandman (Remastered),4425229,417659
Metallica,Fight Fire With Fire,2877017,415030
Metallica,The Call of Ktulu,2865442,412558
Metallica,"Die, Die My Darling",3345313,408737
Metallica,Whiplash,2762711,405558
Metallica,That Was Just Your Life,2987423,404102
Metallica,The Four Horsemen,2787661,400608
Metallica,Hit the Lights,2597432,398049
Metallica,King Nothing,2845055,396418
Ginebras,La Típica Canción,90326,10889
Ginebras,Con Altura,75708,9170
Ginebras,Alex Turner,47998,5698
Ginebras,Paco y Carmela,44378,5287
Ginebras,Chico Pum,38352,4897
Ginebras,Desastre de persona,40149,4834
Ginebras,Ansiedad,40229,4607
Ginebras,Todas Mis Ex Tienen Novio,32139,4496
Ginebras,Cosas Moradas,23211,3332
Ginebras,Crystal Fighters,27169,3274
Ginebras,La Ciudad Huele a Sudor,20190,2803
Ginebras,Billie Max,18669,2611
Ginebras,Vintage,17185,2577
Ginebras,Lunes Negro,14958,2189
Ginebras,Fan Emergente,11712,2086
Ginebras,6 AM,13902,2049
Ginebras,Muchas gracias por venir,10904,1807
Ginebras,Filtro Valencia,11465,1770
Ginebras,Rapapá,12036,1670
Ginebras,En bolas,9828,1662
Ginebras,Metro de Madrid Informa,9239,1618
Ginebras,Mi diario,6529,1565
Ginebras,"Madrid, Madrid, Madrid",8359,1506
Ginebras,Omeprazol,7742,1371
Ginebras,Vueltas,4441,1241
Ginebras,Qué Gozadita,6371,1210
Ginebras,Campos de Fresas para Siempre,5826,1187
Ginebras,He Resucitado A Elvis,6423,1170
Ginebras,Mundo hostil,3947,1170
Ginebras,Con las chicas en Berlín,3635,1145
Ginebras,Gigantes,2425,919
Ginebras,Filtro Valencia (Version 2021),2147,918
Ginebras,Hoy puede ser un gran dia - Banda Sonora Original de la película Menudas Piezas,3010,826
Ginebras,La Típica Canción - Elyella Remix,3119,807
Ginebras,La Típica Canción,4156,805
Ginebras,Rechazada viva,2066,726
Ginebras,Come aquí,1585,584
Ginebras,Novio o novia,1652,565
Ginebras,Intervención,1560,549
Ginebras,Campos de Fresa para Siempre,1423,504
Ginebras,El bosque,1376,476
Ginebras,Cosas Moradas (Innmir Remix),1312,474
Ginebras,Cosas Moradas - Innmir Remix,1072,427
Ginebras,Una Voz - Original de Amatria,1397,417
Ginebras,La Típica Canción (Elyella Remix),1164,392
Ginebras,Una Voz (Original de Amatria),877,308
Ginebras,Filtro Valencia - Version,330,148
Ginebras,6AM,186,112
Ginebras,Con altura (versión de la ROSALÍA),205,70
Ginebras,Vanana Megamix,143,26
IZAL,Copacabana,257848,25858
IZAL,Qué Bien,173123,22176
IZAL,La Mujer De Verde,163504,19544
IZAL,Despedida,137238,19065
IZAL,Pausa,152615,17928
IZAL,El Baile,130962,14487
IZAL,Pequeña Gran Revolución,123235,14240
IZAL,Pánico práctico,85120,10871
IZAL,Asuntos delicados,74676,10426
IZAL,El Pozo,86045,10345
IZAL,Magia Y Efectos Especiales,74002,10170
IZAL,La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Cómo,94779,9567
IZAL,Hambre,63777,9364
IZAL,Agujeros de gusano,63240,8998
IZAL,Arte Moderno,59139,7747
IZAL,"Sueños lentos, aviones veloces",40744,6936
IZAL,Eco,41661,6530
IZAL,Prueba Y Error,45234,6453
IZAL,Palos de ciego,40931,6394
IZAL,Tu Continente,44206,6379
IZAL,Los Seres Que Me Llenan,40643,6142
IZAL,Extraño Regalo,39349,5940
IZAL,Bill Murray,41945,5446
IZAL,Inercia,33335,5017
IZAL,A Nuestros Rincones,29988,4896
IZAL,A los que volveremos,28935,4726
IZAL,Tóxica,29478,4718
IZAL,Ruido Blanco,30496,4626
IZAL,Autoterapia,37189,4570
IZAL,En Aire y Hueso,31681,4538
IZAL,Conclusión En Do Para Ukelele,28675,4531
IZAL,Canción Para Nadie,32525,4334
IZAL,Jenna Fischer,25804,4309
IZAL,Ockham,25446,4258
IZAL,Oro y Humo,29037,4196
IZAL,28 horas,26290,4176
IZAL,El Hombre del Futuro,22103,4166
IZAL,Tambores de Guerra,25352,4005
IZAL,Historias de Vida y Placer,25873,3976
IZAL,La Piedra Invisible,26084,3937
IZAL,Hacia el Norte,25491,3844
IZAL,La Buena Sombra,16997,3517
IZAL,Meiuqèr,20378,3421
IZAL,Ajam,19341,3366
IZAL,Epílogo I: La Duda Razonable,19496,3357
IZAL,Epílogo III: Resurrección Y Venganza,18094,3181
IZAL,Epílogo II: La Caída Del Imperio,17075,3150
IZAL,Teletransporte,13104,3000
IZAL,Hogar,15407,2990
IZAL,Temas Amables,18949,2882
Kaiser Chiefs,Ruby,10216043,1365417
Kaiser Chiefs,I Predict a Riot,6369241,1015713
Kaiser Chiefs,Everyday I Love You Less and Less,4597838,782085
Kaiser Chiefs,Modern Way,2853936,598569
Kaiser Chiefs,Oh My God,3107173,581664
Kaiser Chiefs,Never Miss a Beat,3092838,528632
Kaiser Chiefs,Na Na Na Na Naa,2101614,494665
Kaiser Chiefs,The Angry Mob,2299757,450870
Kaiser Chiefs,Everything Is Average Nowadays,1722358,392588
Kaiser Chiefs,Heat Dies Down,1609624,345015
Kaiser Chiefs,You Can Have It All,1268570,321933
Kaiser Chiefs,Born to Be a Dancer,1286576,317799
Kaiser Chiefs,Saturday Night,1181855,304138
Kaiser Chiefs,Thank You Very Much,1202075,265371
Kaiser Chiefs,Time Honoured Tradition,986883,263732
Kaiser Chiefs,"Caroline, Yes",849691,233658
Kaiser Chiefs,Good Days Bad Days,965552,231562
Kaiser Chiefs,My Kind of Guy,941569,231542
Kaiser Chiefs,Team Mate,753233,227694
Kaiser Chiefs,Learnt My Lesson Well,892637,222983
Kaiser Chiefs,Retirement,870206,214575
Kaiser Chiefs,Boxing Champ,875342,214327
Kaiser Chiefs,Try Your Best,772930,204367
Kaiser Chiefs,Love's Not a Competition (But I'm Winning),881695,186864
Kaiser Chiefs,Highroyds,672348,167150
Kaiser Chiefs,What Did I Ever Give You?,519544,150308
Kaiser Chiefs,Spanish Metal,534912,137649
Kaiser Chiefs,Like It Too Much,587081,135115
Kaiser Chiefs,You Want History,598586,131361
Kaiser Chiefs,Can't Say What I Mean,515171,130331
Kaiser Chiefs,I Can Do It Without You,500619,128242
Kaiser Chiefs,What Did I Ever Give You,481667,128042
Kaiser Chiefs,Addicted to Drugs,509830,117510
Kaiser Chiefs,Tomato in the Rain,484200,117420
Kaiser Chiefs,Half the Truth,485396,115821
Kaiser Chiefs,Always Happens Like That,452885,108829
Kaiser Chiefs,Remember You're a Girl,379136,101702
Kaiser Chiefs,I Can Do Without You,489194,99529
Kaiser Chiefs,Coming Home,409543,79153
Kaiser Chiefs,Love Is Not A Competition (But I'm Winning),442330,71450
Kaiser Chiefs,Little Shocks,309216,64666
Kaiser Chiefs,High Royds,310981,64496
Kaiser Chiefs,The Factory Gates,316367,60547
Kaiser Chiefs,Na Na Na Na Naah,113342,57451
Kaiser Chiefs,Kinda Girl You Are,217563,46726
Kaiser Chiefs,Love's Not A Competition [But I'm Winning],272670,46265
Kaiser Chiefs,Record Collection,244591,43653
Kaiser Chiefs,Man on Mars,188058,42960
Kaiser Chiefs,Another Number,71349,39087
Kaiser Chiefs,Misery Company,180958,38096
Residente,Bellacoso,429723,66573
Residente,René,416126,55428
Residente,This is Not America (feat. Ibeyi),264721,32023
Residente,Desencuentro (feat. Soko),140831,20908
Residente,Rap Bruto,112748,16517
Residente,Guerra,67785,13532
Residente,Sexo (feat. iLe),65237,13320
Residente,La Cátedra,71818,13091
Residente,Antes Que el Mundo Se Acabe,60575,12290
Residente,Pecador,74185,11963
Residente,Dagombas en Tamale,48110,11855
Residente,Somos Anormales,45450,11455
Residente,Problema Cabrón,63242,11249
Residente,Mis Disculpas,52020,10211
Residente,Milo,47329,10090
Residente,Desencuentro,53243,9244
Residente,Que Fluya,46804,9088
Residente,Apocalíptico,41621,8518
Residente,313,34731,8424
Residente,Hijos del Cañaveral,35814,7802
Residente,Intro ADN / DNA,21798,7283
Residente,Una Leyenda China,26509,7245
Residente,Hoy,26045,6957
Residente,Sexo,27970,6853
Residente,Sin Lú,34287,6813
Residente,Interludio Haruna Fati,17307,5861
Residente,Interludio Entre Montañas Siberianas,13928,5670
Residente,Ron En El Piso,31323,5555
Residente,Quiero Ser Baladista,18890,4748
Residente,Yo No Sé Pero Sé,18888,4630
Residente,Pólvora de Ayer,25631,4510
Residente,El Malestar En La Cultura,14355,4470
Residente,Valentina,8026,4362
Residente,Yo Te Quiero a Ti,17887,4333
Residente,El Encuentro,17617,3989
Residente,Estilo Libre,17748,3929
Residente,Cerebro,12360,3895
Residente,Bajo y Batería,14942,3533
Residente,La Sombra (feat. Bombino),10360,3377
Residente,Bajo los Escombros,10724,3264
Residente,El Futuro Es Nuestro,10335,3141
Residente,Querido Louis (feat. Trooko),12999,3132
Residente,Jerga Platanera,8415,3089
Residente,El Futuro Es Nuestro (feat. Goran Bregovic),9538,3037
Residente,En Talla,9146,2669
Residente,La Sombra,7771,2649
Residente,Cosquillita,7585,2040
Residente,Artificial Inteligente,5093,2010
Residente,Leoni,6164,1941
Residente,Latinoamérica - Edición Cuarentena,5760,1932
